cve_mun_full,num_dispositivos_home_00_08,num_dispositivos_home_00_05,num_dispositivos_home_primero
22018,20,18,55
28013,20,16,50
14069,20,17,45
07030,20,15,46
30006,20,18,51
12056,20,19,67
20418,20,17,36
24003,20,14,45
14020,20,16,48
16100,20,15,55
16074,20,17,40
20198,20,16,51
27011,20,17,42
22003,20,15,45
20278,20,13,41
16032,19,14,46
20150,19,15,36
20364,19,12,48
08025,19,17,35
12015,19,15,42
30060,19,16,39
22013,19,15,42
24052,19,16,52
13060,19,14,37
29054,19,18,38
20467,19,15,42
13053,19,14,39
14111,19,19,44
20342,19,18,29
19027,19,19,33
13065,19,15,52
20174,19,15,28
14007,19,17,43
13045,19,13,34
29016,19,17,41
13031,19,13,57
18013,19,15,46
11010,19,11,38
07077,19,12,42
05014,19,18,46
07062,19,16,40
29051,19,17,69
12030,19,15,49
17033,19,16,48
07003,18,11,59
21102,18,17,42
16004,18,15,45
30117,18,14,51
32037,18,13,37
16092,18,13,38
13018,18,15,51
20190,18,11,34
14072,18,18,33
10034,18,14,39
25005,18,16,38
16099,18,16,47
07020,18,16,113
24033,18,17,34
20087,18,13,32
24009,18,15,40
10028,18,16,34
21129,18,18,39
14054,18,16,40
30024,18,11,44
13042,18,13,71
17022,18,9,49
16049,18,14,50
32008,18,15,30
16063,18,16,51
20327,18,13,39
29011,17,16,35
28019,17,13,46
20045,17,11,36
16031,17,12,38
14099,17,14,37
29040,17,15,54
12051,17,17,43
13027,17,12,30
21064,17,12,39
31004,17,15,37
30149,17,12,57
19023,17,16,23
21063,17,13,59
31003,17,12,33
30033,17,12,48
21171,17,14,34
14115,17,12,33
16044,17,15,35
15117,17,13,39
31053,17,14,45
32033,17,15,33
16018,17,11,40
21148,17,12,46
20021,17,16,41
16094,17,13,36
07072,17,14,37
14052,17,14,32
20546,17,13,37
07016,17,12,31
21076,17,9,73
24047,17,15,36
32001,17,14,30
20505,17,15,30
21138,16,15,31
21176,16,15,37
30055,16,14,31
12045,16,12,51
08024,16,15,39
04008,16,13,33
24045,16,12,36
05021,16,15,37
31033,16,14,45
30111,16,14,48
20041,16,14,54
31076,16,15,41
28018,16,12,29
30090,16,15,29
15098,16,14,41
11045,16,14,27
30151,16,14,62
24014,16,11,33
24043,16,12,30
19050,16,10,31
28029,16,14,96
16059,16,13,29
21099,16,14,38
10018,16,10,42
30169,16,14,44
24057,16,15,49
14032,15,10,22
07023,15,8,70
20403,15,9,54
29045,15,13,25
21209,15,12,27
29057,15,12,24
30095,15,12,25
30188,15,14,34
22015,15,15,33
14026,15,14,19
13062,15,12,38
31006,15,10,25
21022,15,12,26
21155,15,14,20
11040,15,13,40
16001,15,14,45
13036,15,12,31
